,Concessionaria,Periodo,Praca,lat,lon,Tipo,Eixos,Volume_total
0,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Automóvel / Caminhonete,2.0,754718
1,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Automóvel / Caminhonete,3.0,1904
2,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Automóvel / Caminhonete,4.0,205
3,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Caminhão / Ônibus,2.0,54804
4,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Caminhão / Ônibus,3.0,35184
5,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Caminhão / Ônibus,4.0,20212
6,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Caminhão / Ônibus,5.0,13092
7,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Caminhão / Ônibus,6.0,17410
8,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Motocicletas,2.0,23333
9,Autopista Fernão Dias,2022-01-01,Praça 01 Br-381 Km-66,-23.322298,-46.581097,Veículos Oficiais,0.0,8126
10,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Automóvel / Caminhonete,2.0,344949
11,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Automóvel / Caminhonete,3.0,1563
12,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Automóvel / Caminhonete,4.0,269
13,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Caminhão / Ônibus,2.0,43416
14,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Caminhão / Ônibus,3.0,36462
15,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Caminhão / Ônibus,4.0,29617
16,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Caminhão / Ônibus,5.0,20532
17,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Caminhão / Ônibus,6.0,29929
18,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Motocicletas,2.0,8375
19,Autopista Fernão Dias,2022-01-01,"Praça 02 Br-381 Km-7,20",-22.908685,-46.424877,Veículos Oficiais,0.0,12854
20,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Automóvel / Caminhonete,2.0,219546
21,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Automóvel / Caminhonete,3.0,1230
22,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Automóvel / Caminhonete,4.0,173
23,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Caminhão / Ônibus,2.0,30406
24,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Caminhão / Ônibus,3.0,30092
25,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Caminhão / Ônibus,4.0,24840
26,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Caminhão / Ônibus,5.0,17557
27,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Caminhão / Ônibus,6.0,27423
28,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Motocicletas,2.0,4798
29,Autopista Fernão Dias,2022-01-01,"Praça 03 Br-381 Km-900,90",-22.628487,-46.07789,Veículos Oficiais,0.0,12393
30,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Automóvel / Caminhonete,2.0,157872
31,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Automóvel / Caminhonete,3.0,1131
32,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Automóvel / Caminhonete,4.0,183
33,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Caminhão / Ônibus,2.0,24147
34,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Caminhão / Ônibus,3.0,29611
35,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Caminhão / Ônibus,4.0,23458
36,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Caminhão / Ônibus,5.0,16176
37,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Caminhão / Ônibus,6.0,29216
38,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Motocicletas,2.0,2435
39,Autopista Fernão Dias,2022-01-01,"Praça 04 Br-381 Km-805,20",-21.970441,-45.631188,Veículos Oficiais,0.0,11833
40,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Automóvel / Caminhonete,2.0,148200
41,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Automóvel / Caminhonete,3.0,1054
42,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Automóvel / Caminhonete,4.0,169
43,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Caminhão / Ônibus,2.0,22828
44,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Caminhão / Ônibus,3.0,28959
45,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Caminhão / Ônibus,4.0,22860
46,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Caminhão / Ônibus,5.0,15295
47,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Caminhão / Ônibus,6.0,28506
48,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Motocicletas,2.0,2108
49,Autopista Fernão Dias,2022-01-01,"Praça 05 Br-381 Km-735,50",-21.5457,-45.240203,Veículos Oficiais,0.0,11222
50,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Automóvel / Caminhonete,2.0,131029
51,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Automóvel / Caminhonete,3.0,955
52,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Automóvel / Caminhonete,4.0,168
53,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Caminhão / Ônibus,2.0,20427
54,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Caminhão / Ônibus,3.0,25489
55,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Caminhão / Ônibus,4.0,19165
56,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Caminhão / Ônibus,5.0,13451
57,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Caminhão / Ônibus,6.0,22768
58,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Motocicletas,2.0,2126
59,Autopista Fernão Dias,2022-01-01,"Praça 06 Br-381 Km-658,30",-21.000367,-44.966967,Veículos Oficiais,0.0,7510
60,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Automóvel / Caminhonete,2.0,131377
61,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Automóvel / Caminhonete,3.0,926
62,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Automóvel / Caminhonete,4.0,156
63,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Caminhão / Ônibus,2.0,21014
64,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Caminhão / Ônibus,3.0,24388
65,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Caminhão / Ônibus,4.0,18939
66,Autopista Fernão Dias,2022-01-01,"Praça 07 Br-381 Km-597,70",-20.591486,-44.701506,Caminhão / Ônibus,5.0,13164
